compound_id2,mesh_name2
D002594,Cetylpyridinium
D000068538,Dutasteride
C108373,dutasteride
C100010,difenoxin
C016386,dihydroxyaluminum sodium carbonate
D008012,Lidocaine
C004839,dioxybenzone
C015173,dipivefrin
C119467,lanthanum carbonate
D002701,Chloramphenicol
D020799,Pancrelipase
C084597,chlorcyclizine
D002707,Chlordiazepoxide
D008049,Lipase
C508887,retapamulin
D000584,Amiloride
D008139,Loperamide
C100063,dyclonine
D002734,Chlorophyll
D002740,Chlorothiazide
D008272,Mafenide
D008276,Magnesium Hydroxide
D008277,Magnesium Oxide
D008294,Malathion
D008353,Mannitol
D008468,Meclizine
D018120,Finasteride
C035394,fluocinolone
D019793,Fluorescein
D002927,Cimetidine
D002937,Cinoxacin
D002981,Clindamycin
C010730,"beta-glucono-1,5-lactone"
D002990,Clobetasol
D017294,Ondansetron
D003022,Clotrimazole
D017829,Granisetron
C007894,guar gum
D003033,Coal Tar
D003042,Cocaine
D000983,Antipyrine
D014002,Stannous Fluoride
D013213,Starch
D013392,Sucralfate
D013409,Sulfacetamide
D013419,Sulfamethizole
C036944,sulfanilamide
C005312,sulfathiazole
D013455,Sulfur
C033158,sulfuric acid
D013496,Suprofen
D013627,Talc
D013634,Tannins
D013748,Tetracaine
D013759,Dronabinol
D013847,Thiethylperazine
D003078,Colchicine
C100236,homatropine
C045463,leflunomide
D008614,Meperidine
D014046,Tolmetin
C121345,desloratadine
C015372,iodinated glycerol
D014147,Tramadol
C406224,valdecoxib
C008192,isometheptene
C409045,almotriptan
D008691,Methadone
D000628,Aminophylline
D014309,Tripelennamine
D014311,Triprolidine
D014425,Turpentine
D008784,Methysergide
C079890,tiotropium
D017336,Loratadine
D009020,Morphine
D003533,Cyproheptadine
D000069444,Omalizumab
C426106,omalizumab
C062735,zafirlukast
D001241,Aspirin
D009241,Ipratropium
C035605,nabumetone
D009266,Nalbuphine
D009270,Naloxone
D053590,Anakinra
D017835,Nedocromil
D001310,Auranofin
D009288,Naproxen
D001507,Beclomethasone
C089750,zolmitriptan
D001533,Belladonna Alkaloids
C008729,oxaprozin
C105934,celecoxib
D000068579,Celecoxib
C106783,naratriptan
C453439,adalimumab
D000068879,Adalimumab
D003915,Dextromethorphan
C005430,phenindamine
C008865,phenyltoloxamine
D009921,Metaproterenol
D004008,Diclofenac
D010098,Oxycodone
D000082,Acetaminophen
C568813,dornase alfa
C085693,dornase alfa
C009118,pirbuterol
D010111,Oxymorphone
D004061,Diflunisal
D004087,Dihydroergotamine
D004091,Hydromorphone
D004155,Diphenhydramine
D010423,Pentazocine
D001977,Brompheniramine
D002047,Buprenorphine
D002077,Butorphanol
C006656,azatadine
D002110,Caffeine
D010653,Phenylbutazone
D010656,Phenylephrine
C472067,levocetirizine
C037663,ropivacaine
C029755,benzonatate
D020910,Ketorolac
C014182,salicylsalicylic acid
C057823,salmeterol
C011685,bitolterol
D000111,Acetylcysteine
C053083,bromfenac
C011410,bromodiphenhydramine
C004470,butalbital
D010665,Phenylpropanolamine
D004400,Dyphylline
C043648,acrivastine
C004519,caramiphen
C018861,carbetapentane
D018170,Sumatriptan
C004649,carbinoxamine
D004809,Ephedrine
D004878,Ergotamine
D010894,Piroxicam
C063449,zileuton
D017332,Cetirizine
D000068298,Fluticasone
C065382,fluticasone
C065757,meloxicam
C035425,cinnamedrine
D016589,Astemizole
D016593,Terfenadine
D016595,Misoprostol
C010432,clofedanol
D011339,Probenecid
D000068800,Etanercept
C106167,etanercept
D006052,Aurothiomalate
D011398,Promethazine
C093230,fexofenadine
D011431,Dextropropoxyphene
D005279,Fenoprofen
D005283,Fentanyl
C093622,rizatriptan
C093875,montelukast
D054199,Pseudoephedrine
D000420,Albuterol
D005480,Flurbiprofen
C017959,choline magnesium trisalicylate
D019832,N-Methylscopolamine
D011738,Pyrilamine
D006051,Aurothioglucose
D006140,Guaifenesin
C031060,salicylamide
D000493,Allopurinol
C496892,Magnesium Salicylate
D000515,alpha 1-Antitrypsin
C069987,pamabrom
D006853,Hydrocodone
D007052,Ibuprofen
D007213,Indomethacin
D008469,Meclofenamic Acid
D007528,Isoetharine
D007545,Isoproterenol
D007660,Ketoprofen
D000069594,Abatacept
C468566,abatacept
C015121,dexbrompheniramine
C018904,dexchlorpheniramine
C108128,frovatriptan
C007333,dichloralantipyrine
C014481,dihydrocodeine
C115647,eletriptan
C116926,rofecoxib
D007981,Levorphanol
D064412,Levalbuterol
D002744,Chlorpheniramine
D002794,Choline
D017308,Etodolac
C007734,flunisolide
C012629,formoterol
D002974,Clemastine
C013710,guaiacolsulfonic acid
D003061,Codeine
D013442,Sulfinpyrazone
D013467,Sulindac
D013726,Terbutaline
D013806,Theophylline
D064705,Racepinephrine
D013917,Thrombin
D008535,Megestrol
D017984,Enoxaparin
D017985,Dalteparin
D019322,Epoetin Alfa
D000068817,Epoetin Alfa
C554041,epoetin alfa
D008550,Melatonin
D008558,Melphalan
D013988,Ticlopidine
C011369,calcium threonate
C043615,iron succinyl milk protein complex
D014148,Tranexamic Acid
C070081,fulvestrant
C097613,imatinib
C469709,rasburicase
C417052,darbepoetin alfa
D000068256,Darbepoetin alfa
D000069585,Filgrastim
C554038,Filgrastim
D019376,Filgrastim
D000068437,Pemetrexed
C085586,pemetrexed
D008727,Methotrexate
D008750,Methyldopa
D008755,Methylergonovine
D014451,Ubiquinone
D008790,Metoprolol
D014568,Urokinase-Type Plasminogen Activator
D008801,Mexiletine
D014700,Verapamil
C015329,lycopene
D017706,Lisinopril
D014750,Vincristine
D008879,Midodrine
C081222,sargramostim
C081247,tinzaparin
D014805,Vitamin B 12
D000068756,Valsartan
C081489,valsartan
D008914,Minoxidil
D008939,Mitotane
D008942,Mitoxantrone
D000241,Adenosine
D003495,Cyclandelate
C082598,aldesleukin
C414690,eplerenone
D000638,Amiodarone
D014859,Warfarin
D003520,Cyclophosphamide
D014975,Lutein
C058302,moexipril
D003561,Cytarabine
C426063,vardenafil
D003606,Dacarbazine
D003609,Dactinomycin
D003630,Daunorubicin
D003642,Deanol
D003687,Dehydroepiandrosterone
C096529,alemtuzumab
C097933,olmesartan medoxomil
D009248,Nadolol
D001262,Atenolol
D000069283,Rituximab
C092560,rituximab
C052753,nebivolol
D000068577,Nebivolol
D001374,Azacitidine
C056507,gemcitabine
C073305,Vaccinium myrtillus extract
C021277,nilutamide
C411189,cetuximab
D000068818,Cetuximab
C438268,fondaparinux
C067311,docetaxel
C067431,letrozole
C101426,sildenafil
D001539,Bendroflumethiazide
C084178,telmisartan
C446481,aliskiren
C030110,oxaliplatin
C105308,oprelvekin
D009529,Nicardipine
D009543,Nifedipine
D000680,Amyl Nitrite
D009553,Nimodipine
C419708,gefitinib
C069207,calcium ascorbate
C109695,dong quai
D015764,Bepridil
D015737,Nisoldipine
D000070,Acebutolol
D009638,Norepinephrine
C086232,bosentan
D015784,Betaxolol
C055162,clopidogrel
C086648,eptifibatide
C031942,argatroban
D001728,Dicumarol
C400278,erlotinib
C455861,pegfilgrastim
D017275,Isradipine
D010121,Oxytocin
D004077,Digoxin
C042705,pegaspargase
D010208,Papaverine
C427248,treprostinil
D010394,Penbutolol
D004110,Diltiazem
D001761,Bleomycin
D015232,Dinoprostone
C038491,allyl sulfide
C041125,quinapril
D010431,Pentoxifylline
D004176,Dipyridamole
D017311,Amlodipine
C010679,anisindione
D002066,Busulfan
C006632,arsenic trioxide
C469952,"complement C1s inhibitor, human"
D017257,Ramipril
D010643,Phenoxybenzamine
C044946,benazepril
D010646,Phentolamine
D004206,Disopyramide
C473478,sunitinib
C400082,bortezomib
D000069286,Bortezomib
D000068581,Tadalafil
C429886,tadalafil
C467894,ambrisentan
C055512,ranolazine
D000069458,Ranolazine
D005994,Calcium Glycerophosphate
D002126,Calcium Hydroxide
D000069287,Capecitabine
C110904,capecitabine
C111237,vorinostat
D004280,Dobutamine
D004298,Dopamine
D017298,Bisoprolol
D004317,Doxorubicin
D020097,"Natriuretic Peptide, Brain"
D002216,Captopril
D019802,Succinic Acid
C111481,shark cartilage extract
C047246,temozolomide
C041226,Terazosin
D004656,Enalapril
D015773,Enalaprilat
D017312,Toremifene
C052035,trandolapril
D017329,Triptorelin
C078147,"F8 protein, human"
C030852,vinorelbine
C005881,zeaxanthin
D004837,Epinephrine
D015251,Epirubicin
C053541,bicalutamide
D016190,Carboplatin
D016316,Guanfacine
D016285,Iloprost
D016293,Moricizine
D020748,Mibefradil
D004874,Ergonovine
D010869,Pindolol
C068373,eprosartan
C043211,carvedilol
C081309,irbesartan
D010959,Tissue Plasminogen Activator
C090450,anastrozole
C090568,imiglucerase
D004961,Estramustine
D004999,Amifostine
D002330,Carmustine
C045645,cilostazol
D011224,Prazosin
D005047,Etoposide
C024989,coenzyme Q10
D016677,Tocainide
D011342,Procainamide
D016729,Leuprolide
C081643,candesartan
D011344,Procarbazine
D005164,Factor IX
D015942,Factor VIIa
D005169,Factor VIII
D003911,Dextran
D064730,Dexrazoxane
D006035,Licorice
D025101,Vitamin B 6
D011405,Propafenone
D011433,Propranolol
D015736,Felodipine
D011464,Epoprostenol
D015080,Mesna
D005424,Flecainide
D005467,Floxuridine
D005485,Flutamide
D000069439,Dasatinib
C488369,dasatinib
C490728,lapatinib
D007501,Iron
D005944,Glucosamine
D011802,Quinidine
D005996,Nitroglycerin
D012110,Reserpine
C063533,dofetilide
D017292,Doxazosin
C471405,sorafenib
D006916,5-Hydroxytryptophan
D017328,Fosinopril
D012436,S-Adenosylmethionine
D012493,Samarium
D006143,Guanabenz
D006145,Guanethidine
D017273,Goserelin
C029256,histrelin
C051890,irinotecan
D019808,Losartan
D006493,Heparin
D020105,Milrinone
D006585,Altretamine
D015119,Aminocaproic Acid
D013015,Sotalol
D020913,Perindopril
D006830,Hydralazine
D006857,Hydroflumethiazide
D006879,Hydroxocobalamin
D006918,Hydroxyurea
C011105,schizandrin
D017239,Paclitaxel
D019772,Topotecan
D007294,Inositol
C554043,interferon alfa-2a
D015380,Interferon Alfa-2a
D015381,Interferon Alfa-2b
C554127,interferon alfa-2b
C554125,interferon gamma-1b
D015382,Interferon gamma-1b
D048271,Chitosan
D007437,Intrinsic Factor
C021139,anagrelide
D000527,Alprostadil
D007505,Iron-Dextran Complex
D007547,Isosorbide
D007548,Isosorbide Dinitrate
D007556,Isoxsuprine
C554126,Interferon Alfa-n3
D015016,Yohimbine
D007741,Labetalol
D000068878,Trastuzumab
C112748,trastuzumab
C100104,deserpidine
D002955,Leucovorin
D016685,Mitomycin
D007978,Levamisole
C025910,dimethyl sulfone
C117343,red yeast rice
C095105,bexarotene
D002699,Chlorambucil
C040972,Permixon
D008130,Lomustine
D056604,Grape Seed Extract
C498826,nilotinib
D008345,Manganese
D008464,Mecamylamine
D008466,Mechlorethamine
D002752,Chlorthalidone
C024352,fludarabine
D002809,Chondroitin Sulfates
C008169,"ferric oxide, saccharated"
C011819,ferrous gluconate
C020748,ferrous sulfate
C469428,bevacizumab
D000068258,Bevacizumab
D002945,Cisplatin
C056516,exemestane
C407042,plant stanol ester
D003000,Clonidine
C515100,iron pentacarbonyl
C004945,guanadrel
C018562,guggulu extract
D019805,Metyrosine
D000990,Antithrombin III
D015122,6-Mercaptopurine
D013629,Tamoxifen
D013738,Testolactone
D013866,Thioguanine
D008525,Medroxyprogesterone
D013962,Thyroid (USP)
D003084,Colestipol
D013974,Thyroxine
D014042,Tolazamide
C060142,nateglinide
D014044,Tolbutamide
C065700,mecasermin
C000604197,mecasermin
C106526,glargine
D000069036,Insulin Glargine
D000616,Aminoglutethimide
D008656,Mestranol
D008687,Metformin
C406545,pegvisomant
C060347,lanreotide
C062876,cetrorelix
D008713,Methimazole
D014284,Triiodothyronine
D008775,Methylprednisolone
D008777,Methyltestosterone
D017274,Nafarelin
D003348,Cortisone
D014667,Vasopressin (USP)
C080710,policosanol
D015735,Mifepristone
C045621,miglitol
C422923,rosuvastatin
D003613,Danazol
C019248,pamidronate
C025136,phenylacetate
C570634,phenyl acetate
C042533,1 alpha-hydroxyergocalciferol
C073007,ibandronate
C035144,drospirenone
D020849,Raloxifene
C484564,"insulin, lente, human"
D009277,Nandrolone
C557864,"isophane insulin, beef-pork"
C057693,troglitazone
D050477,Urofollitropin
C017576,norgestimate
C072379,repaglinide
C073008,risedronic acid
C105111,insulin detemir
D000069057,Insulin Detemir
D003894,Deamino Arginine Vasopressin
C084656,paricalcitol
D009525,Niacin
C105254,pramlintide
C107058,colesevelam
C449219,norelgestromin
D003907,Dexamethasone
C044815,etonogestrel
D001622,Betaine
D009640,Norethindrone
D009644,Norgestrel
D019379,Teriparatide
D015282,Octreotide
D003981,Diazoxide
C088658,zoledronic acid
D010074,Oxandrolone
C060836,pioglitazone
C009927,estropipate
D010110,Oxymetholone
C459420,agalsidase beta
D004054,Diethylstilbestrol
D000069438,Ezetimibe
C108606,ezetimibe
D020909,Acarbose
D000092,Acetohexamide
C061018,ganirelix
C028815,salmon calcitonin
D019821,Simvastatin
C075773,4-phenylbutyrate
D000324,Adrenocorticotropic Hormone
C571801,follitropin alfa
C479079,insulin glulisine
C065179,atorvastatin
C089730,rosiglitazone
C476217,cinacalcet
D004958,Estradiol
D004966,"Estrogens, Conjugated (USP)"
D004970,Estrone
C065180,fluvastatin
D004997,Ethinyl Estradiol
D061268,Insulin Lispro
C091593,insulin LISPRO
D011239,Prednisolone
D011241,Prednisone
D042724,"Estrogens, Esterified (USP)"
D011345,Fenofibrate
D017035,Pravastatin
D011374,Progesterone
D012968,EHDP
D011441,Propylthiouracil
D005438,Fludrocortisone
D005474,Fluoxymesterone
D019386,Alendronate
D015248,Gemfibrozil
C047047,cabergoline
D005905,Glyburide
D005913,Glipizide
D005934,Glucagon
D005947,Glucose
C484565,"insulin, lente, pork"
D012312,Ritodrine
D006063,Chorionic Gonadotropin
C071125,"insulin, Asp(B28)-"
C447442,somatrem
C496398,sitagliptin
C074031,exenatide
D019382,Human Growth Hormone
C086276,cerivastatin sodium
C557866,"isophane insulin, pork"
D061389,"Insulin, Regular, Pork"
C077073,nitisinone
C509657,"estrogens, conjugated synthetic B"
D017135,Desogestrel
D005640,Follicle Stimulating Hormone
D016912,Levonorgestrel
D007986,Luteinizing Hormone
D007328,Insulin
C557837,"insulin, regular, beef-pork"
D008148,Lovastatin
D002747,Chlorpropamide
C014546,ethynodiol
C031621,ferrous fumarate
C509653,"estrogens, conjugated synthetic A"
C557865,"isophane insulin, human"
D061386,"Insulin, Regular, Human"
D037201,"Follicle Stimulating Hormone, beta Subunit"
C571802,follitropin beta
C057619,glimepiride
D002994,Clofibrate
D002996,Clomiphene
D013197,Stanozolol
D013739,Testosterone
D000198,Spectinomycin
C004691,colistinmethanesulfonic acid
D013982,Ticarcillin
D014011,Tinidazole
C106791,telithromycin
D008622,Merbromin
C121677,valganciclovir
C122114,emtricitabine
D000068679,Emtricitabine
C060590,famciclovir
D017964,Itraconazole
D000212,Acyclovir
C101425,posaconazole
D019259,Lamivudine
D014260,Triclosan
D014295,Trimethoprim
D008795,Metronidazole
